[2024-11-26T00:00:03.963+0900] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-11-26T00:00:03.972+0900] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: process_and_upload_json_to_hdfs.process_json_files scheduled__2024-11-25T14:00:00+00:00 [queued]>
[2024-11-26T00:00:03.979+0900] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: process_and_upload_json_to_hdfs.process_json_files scheduled__2024-11-25T14:00:00+00:00 [queued]>
[2024-11-26T00:00:03.979+0900] {taskinstance.py:2866} INFO - Starting attempt 1 of 2
[2024-11-26T00:00:03.995+0900] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): process_json_files> on 2024-11-25 14:00:00+00:00
[2024-11-26T00:00:03.998+0900] {standard_task_runner.py:72} INFO - Started process 2824042 to run task
[2024-11-26T00:00:04.001+0900] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'process_and_upload_json_to_hdfs', 'process_json_files', 'scheduled__2024-11-25T14:00:00+00:00', '--job-id', '275', '--raw', '--subdir', 'DAGS_FOLDER/data_to_hdfs.py', '--cfg-path', '/tmp/tmp4nt6q09f']
[2024-11-26T00:00:04.003+0900] {standard_task_runner.py:105} INFO - Job 275: Subtask process_json_files
[2024-11-26T00:00:04.036+0900] {task_command.py:467} INFO - Running <TaskInstance: process_and_upload_json_to_hdfs.process_json_files scheduled__2024-11-25T14:00:00+00:00 [running]> on host MN
[2024-11-26T00:00:04.101+0900] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='process_and_upload_json_to_hdfs' AIRFLOW_CTX_TASK_ID='process_json_files' AIRFLOW_CTX_EXECUTION_DATE='2024-11-25T14:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-25T14:00:00+00:00'
[2024-11-26T00:00:04.102+0900] {taskinstance.py:731} INFO - ::endgroup::
[2024-11-26T00:00:04.458+0900] {logging_mixin.py:190} INFO - Champion data for champion 57 saved to /laewon/Riot/output/champion_57.csv.
[2024-11-26T00:00:04.534+0900] {logging_mixin.py:190} INFO - Champion data for champion 105 saved to /laewon/Riot/output/champion_105.csv.
[2024-11-26T00:00:04.607+0900] {logging_mixin.py:190} INFO - Champion data for champion 8 saved to /laewon/Riot/output/champion_8.csv.
[2024-11-26T00:00:04.714+0900] {logging_mixin.py:190} INFO - Champion data for champion 104 saved to /laewon/Riot/output/champion_104.csv.
[2024-11-26T00:00:04.916+0900] {logging_mixin.py:190} INFO - Champion data for champion 81 saved to /laewon/Riot/output/champion_81.csv.
[2024-11-26T00:00:04.970+0900] {logging_mixin.py:190} INFO - Champion data for champion 268 saved to /laewon/Riot/output/champion_268.csv.
[2024-11-26T00:00:05.084+0900] {logging_mixin.py:190} INFO - Champion data for champion 412 saved to /laewon/Riot/output/champion_412.csv.
[2024-11-26T00:00:05.197+0900] {logging_mixin.py:190} INFO - Champion data for champion 29 saved to /laewon/Riot/output/champion_29.csv.
