[2024-11-26T02:00:03.809+0900] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-11-26T02:00:03.818+0900] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: process_and_upload_json_to_hdfs.process_json_files scheduled__2024-11-25T16:00:00+00:00 [queued]>
[2024-11-26T02:00:03.824+0900] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: process_and_upload_json_to_hdfs.process_json_files scheduled__2024-11-25T16:00:00+00:00 [queued]>
[2024-11-26T02:00:03.825+0900] {taskinstance.py:2866} INFO - Starting attempt 1 of 2
[2024-11-26T02:00:03.840+0900] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): process_json_files> on 2024-11-25 16:00:00+00:00
[2024-11-26T02:00:03.843+0900] {standard_task_runner.py:72} INFO - Started process 2852816 to run task
[2024-11-26T02:00:03.846+0900] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'process_and_upload_json_to_hdfs', 'process_json_files', 'scheduled__2024-11-25T16:00:00+00:00', '--job-id', '281', '--raw', '--subdir', 'DAGS_FOLDER/data_to_hdfs.py', '--cfg-path', '/tmp/tmplhfqgaeg']
[2024-11-26T02:00:03.848+0900] {standard_task_runner.py:105} INFO - Job 281: Subtask process_json_files
[2024-11-26T02:00:03.881+0900] {task_command.py:467} INFO - Running <TaskInstance: process_and_upload_json_to_hdfs.process_json_files scheduled__2024-11-25T16:00:00+00:00 [running]> on host MN
[2024-11-26T02:00:03.946+0900] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='process_and_upload_json_to_hdfs' AIRFLOW_CTX_TASK_ID='process_json_files' AIRFLOW_CTX_EXECUTION_DATE='2024-11-25T16:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-25T16:00:00+00:00'
[2024-11-26T02:00:03.947+0900] {taskinstance.py:731} INFO - ::endgroup::
[2024-11-26T02:00:04.301+0900] {logging_mixin.py:190} INFO - Champion data for champion 25 saved to /laewon/Riot/output/champion_25.csv.
[2024-11-26T02:00:04.371+0900] {logging_mixin.py:190} INFO - Champion data for champion 154 saved to /laewon/Riot/output/champion_154.csv.
[2024-11-26T02:00:04.464+0900] {logging_mixin.py:190} INFO - Champion data for champion 518 saved to /laewon/Riot/output/champion_518.csv.
[2024-11-26T02:00:04.540+0900] {logging_mixin.py:190} INFO - Champion data for champion 27 saved to /laewon/Riot/output/champion_27.csv.
[2024-11-26T02:00:04.691+0900] {logging_mixin.py:190} INFO - Champion data for champion 21 saved to /laewon/Riot/output/champion_21.csv.
[2024-11-26T02:00:04.774+0900] {logging_mixin.py:190} INFO - Champion data for champion 799 saved to /laewon/Riot/output/champion_799.csv.
[2024-11-26T02:00:04.866+0900] {logging_mixin.py:190} INFO - Champion data for champion 74 saved to /laewon/Riot/output/champion_74.csv.
[2024-11-26T02:00:05.006+0900] {logging_mixin.py:190} INFO - Champion data for champion 54 saved to /laewon/Riot/output/champion_54.csv.
[2024-11-26T02:00:05.125+0900] {logging_mixin.py:190} INFO - Champion data for champion 498 saved to /laewon/Riot/output/champion_498.csv.
[2024-11-26T02:00:05.261+0900] {logging_mixin.py:190} INFO - Champion data for champion 76 saved to /laewon/Riot/output/champion_76.csv.
[2024-11-26T02:00:05.343+0900] {logging_mixin.py:190} INFO - Champion data for champion 117 saved to /laewon/Riot/output/champion_117.csv.
[2024-11-26T02:00:05.487+0900] {logging_mixin.py:190} INFO - Champion data for champion 103 saved to /laewon/Riot/output/champion_103.csv.
[2024-11-26T02:00:05.598+0900] {logging_mixin.py:190} INFO - Champion data for champion 29 saved to /laewon/Riot/output/champion_29.csv.
[2024-11-26T02:00:05.672+0900] {logging_mixin.py:190} INFO - Champion data for champion 16 saved to /laewon/Riot/output/champion_16.csv.
[2024-11-26T02:00:05.728+0900] {logging_mixin.py:190} INFO - Champion data for champion 203 saved to /laewon/Riot/output/champion_203.csv.
[2024-11-26T02:00:05.804+0900] {logging_mixin.py:190} INFO - Champion data for champion 59 saved to /laewon/Riot/output/champion_59.csv.
[2024-11-26T02:00:05.841+0900] {logging_mixin.py:190} INFO - Champion data for champion 91 saved to /laewon/Riot/output/champion_91.csv.
[2024-11-26T02:00:05.929+0900] {logging_mixin.py:190} INFO - Champion data for champion 80 saved to /laewon/Riot/output/champion_80.csv.
[2024-11-26T02:00:06.039+0900] {logging_mixin.py:190} INFO - Champion data for champion 147 saved to /laewon/Riot/output/champion_147.csv.
[2024-11-26T02:00:06.086+0900] {logging_mixin.py:190} INFO - Champion data for champion 41 saved to /laewon/Riot/output/champion_41.csv.
[2024-11-26T02:00:06.206+0900] {logging_mixin.py:190} INFO - Champion data for champion 101 saved to /laewon/Riot/output/champion_101.csv.
[2024-11-26T02:00:06.317+0900] {logging_mixin.py:190} INFO - Champion data for champion 67 saved to /laewon/Riot/output/champion_67.csv.
[2024-11-26T02:00:06.378+0900] {logging_mixin.py:190} INFO - Champion data for champion 201 saved to /laewon/Riot/output/champion_201.csv.
