[2024-11-26T06:00:03.190+0900] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-11-26T06:00:03.199+0900] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: process_and_upload_json_to_hdfs.process_json_files scheduled__2024-11-25T20:00:00+00:00 [queued]>
[2024-11-26T06:00:03.206+0900] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: process_and_upload_json_to_hdfs.process_json_files scheduled__2024-11-25T20:00:00+00:00 [queued]>
[2024-11-26T06:00:03.206+0900] {taskinstance.py:2866} INFO - Starting attempt 1 of 2
[2024-11-26T06:00:03.221+0900] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): process_json_files> on 2024-11-25 20:00:00+00:00
[2024-11-26T06:00:03.224+0900] {standard_task_runner.py:72} INFO - Started process 2909692 to run task
[2024-11-26T06:00:03.228+0900] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'process_and_upload_json_to_hdfs', 'process_json_files', 'scheduled__2024-11-25T20:00:00+00:00', '--job-id', '293', '--raw', '--subdir', 'DAGS_FOLDER/data_to_hdfs.py', '--cfg-path', '/tmp/tmp7w5u4h3i']
[2024-11-26T06:00:03.229+0900] {standard_task_runner.py:105} INFO - Job 293: Subtask process_json_files
[2024-11-26T06:00:03.262+0900] {task_command.py:467} INFO - Running <TaskInstance: process_and_upload_json_to_hdfs.process_json_files scheduled__2024-11-25T20:00:00+00:00 [running]> on host MN
[2024-11-26T06:00:03.328+0900] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='process_and_upload_json_to_hdfs' AIRFLOW_CTX_TASK_ID='process_json_files' AIRFLOW_CTX_EXECUTION_DATE='2024-11-25T20:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-25T20:00:00+00:00'
[2024-11-26T06:00:03.329+0900] {taskinstance.py:731} INFO - ::endgroup::
[2024-11-26T06:00:03.766+0900] {logging_mixin.py:190} INFO - Champion data for champion 53 saved to /laewon/Riot/output/champion_53.csv.
[2024-11-26T06:00:03.821+0900] {logging_mixin.py:190} INFO - Champion data for champion 876 saved to /laewon/Riot/output/champion_876.csv.
[2024-11-26T06:00:03.963+0900] {logging_mixin.py:190} INFO - Champion data for champion 115 saved to /laewon/Riot/output/champion_115.csv.
[2024-11-26T06:00:04.026+0900] {logging_mixin.py:190} INFO - Champion data for champion 12 saved to /laewon/Riot/output/champion_12.csv.
[2024-11-26T06:00:04.121+0900] {logging_mixin.py:190} INFO - Champion data for champion 238 saved to /laewon/Riot/output/champion_238.csv.
[2024-11-26T06:00:04.246+0900] {logging_mixin.py:190} INFO - Champion data for champion 101 saved to /laewon/Riot/output/champion_101.csv.
[2024-11-26T06:00:04.318+0900] {logging_mixin.py:190} INFO - Champion data for champion 8 saved to /laewon/Riot/output/champion_8.csv.
[2024-11-26T06:00:04.448+0900] {logging_mixin.py:190} INFO - Champion data for champion 63 saved to /laewon/Riot/output/champion_63.csv.
