[2024-12-02T20:00:03.791+0900] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-02T20:00:03.801+0900] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: process_and_upload_json_to_hdfs.process_json_files scheduled__2024-12-02T10:00:00+00:00 [queued]>
[2024-12-02T20:00:03.807+0900] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: process_and_upload_json_to_hdfs.process_json_files scheduled__2024-12-02T10:00:00+00:00 [queued]>
[2024-12-02T20:00:03.807+0900] {taskinstance.py:2866} INFO - Starting attempt 1 of 2
[2024-12-02T20:00:03.823+0900] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): process_json_files> on 2024-12-02 10:00:00+00:00
[2024-12-02T20:00:03.826+0900] {standard_task_runner.py:72} INFO - Started process 79012 to run task
[2024-12-02T20:00:03.829+0900] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'process_and_upload_json_to_hdfs', 'process_json_files', 'scheduled__2024-12-02T10:00:00+00:00', '--job-id', '377', '--raw', '--subdir', 'DAGS_FOLDER/data_to_hdfs.py', '--cfg-path', '/tmp/tmpxuz2le_o']
[2024-12-02T20:00:03.831+0900] {standard_task_runner.py:105} INFO - Job 377: Subtask process_json_files
[2024-12-02T20:00:03.864+0900] {task_command.py:467} INFO - Running <TaskInstance: process_and_upload_json_to_hdfs.process_json_files scheduled__2024-12-02T10:00:00+00:00 [running]> on host MN
[2024-12-02T20:00:03.930+0900] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='process_and_upload_json_to_hdfs' AIRFLOW_CTX_TASK_ID='process_json_files' AIRFLOW_CTX_EXECUTION_DATE='2024-12-02T10:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-12-02T10:00:00+00:00'
[2024-12-02T20:00:03.931+0900] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-02T20:00:04.307+0900] {logging_mixin.py:190} INFO - Champion data for champion 412 saved to /laewon/Riot/output/champion_412.csv.
[2024-12-02T20:00:04.351+0900] {logging_mixin.py:190} INFO - Champion data for champion 113 saved to /laewon/Riot/output/champion_113.csv.
[2024-12-02T20:00:04.549+0900] {logging_mixin.py:190} INFO - Champion data for champion 51 saved to /laewon/Riot/output/champion_51.csv.
[2024-12-02T20:00:04.606+0900] {logging_mixin.py:190} INFO - Champion data for champion 203 saved to /laewon/Riot/output/champion_203.csv.
[2024-12-02T20:00:04.643+0900] {logging_mixin.py:190} INFO - Champion data for champion 77 saved to /laewon/Riot/output/champion_77.csv.
[2024-12-02T20:00:04.695+0900] {logging_mixin.py:190} INFO - Champion data for champion 23 saved to /laewon/Riot/output/champion_23.csv.
[2024-12-02T20:00:04.718+0900] {logging_mixin.py:190} INFO - Champion data for champion 28 saved to /laewon/Riot/output/champion_28.csv.
[2024-12-02T20:00:04.826+0900] {logging_mixin.py:190} INFO - Champion data for champion 18 saved to /laewon/Riot/output/champion_18.csv.
