[2024-12-03T00:00:03.285+0900] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-03T00:00:03.294+0900] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: process_and_upload_json_to_hdfs.process_json_files scheduled__2024-12-02T14:00:00+00:00 [queued]>
[2024-12-03T00:00:03.301+0900] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: process_and_upload_json_to_hdfs.process_json_files scheduled__2024-12-02T14:00:00+00:00 [queued]>
[2024-12-03T00:00:03.301+0900] {taskinstance.py:2866} INFO - Starting attempt 1 of 2
[2024-12-03T00:00:03.316+0900] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): process_json_files> on 2024-12-02 14:00:00+00:00
[2024-12-03T00:00:03.319+0900] {standard_task_runner.py:72} INFO - Started process 142082 to run task
[2024-12-03T00:00:03.322+0900] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'process_and_upload_json_to_hdfs', 'process_json_files', 'scheduled__2024-12-02T14:00:00+00:00', '--job-id', '393', '--raw', '--subdir', 'DAGS_FOLDER/data_to_hdfs.py', '--cfg-path', '/tmp/tmps9rt7w2p']
[2024-12-03T00:00:03.324+0900] {standard_task_runner.py:105} INFO - Job 393: Subtask process_json_files
[2024-12-03T00:00:03.357+0900] {task_command.py:467} INFO - Running <TaskInstance: process_and_upload_json_to_hdfs.process_json_files scheduled__2024-12-02T14:00:00+00:00 [running]> on host MN
[2024-12-03T00:00:03.423+0900] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='process_and_upload_json_to_hdfs' AIRFLOW_CTX_TASK_ID='process_json_files' AIRFLOW_CTX_EXECUTION_DATE='2024-12-02T14:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-12-02T14:00:00+00:00'
[2024-12-03T00:00:03.424+0900] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-03T00:00:03.789+0900] {logging_mixin.py:190} INFO - Champion data for champion 221 saved to /laewon/Riot/output/champion_221.csv.
[2024-12-03T00:00:03.936+0900] {logging_mixin.py:190} INFO - Champion data for champion 25 saved to /laewon/Riot/output/champion_25.csv.
[2024-12-03T00:00:03.969+0900] {logging_mixin.py:190} INFO - Champion data for champion 72 saved to /laewon/Riot/output/champion_72.csv.
[2024-12-03T00:00:04.046+0900] {logging_mixin.py:190} INFO - Champion data for champion 59 saved to /laewon/Riot/output/champion_59.csv.
[2024-12-03T00:00:04.128+0900] {logging_mixin.py:190} INFO - Champion data for champion 30 saved to /laewon/Riot/output/champion_30.csv.
[2024-12-03T00:00:04.194+0900] {logging_mixin.py:190} INFO - Champion data for champion 223 saved to /laewon/Riot/output/champion_223.csv.
[2024-12-03T00:00:04.344+0900] {logging_mixin.py:190} INFO - Champion data for champion 22 saved to /laewon/Riot/output/champion_22.csv.
[2024-12-03T00:00:04.461+0900] {logging_mixin.py:190} INFO - Champion data for champion 61 saved to /laewon/Riot/output/champion_61.csv.
[2024-12-03T00:00:04.568+0900] {logging_mixin.py:190} INFO - Champion data for champion 235 saved to /laewon/Riot/output/champion_235.csv.
[2024-12-03T00:00:04.677+0900] {logging_mixin.py:190} INFO - Champion data for champion 517 saved to /laewon/Riot/output/champion_517.csv.
[2024-12-03T00:00:04.801+0900] {logging_mixin.py:190} INFO - Champion data for champion 17 saved to /laewon/Riot/output/champion_17.csv.
[2024-12-03T00:00:04.870+0900] {logging_mixin.py:190} INFO - Champion data for champion 154 saved to /laewon/Riot/output/champion_154.csv.
[2024-12-03T00:00:05.071+0900] {logging_mixin.py:190} INFO - Champion data for champion 81 saved to /laewon/Riot/output/champion_81.csv.
[2024-12-03T00:00:05.142+0900] {logging_mixin.py:190} INFO - Champion data for champion 68 saved to /laewon/Riot/output/champion_68.csv.
[2024-12-03T00:00:05.176+0900] {logging_mixin.py:190} INFO - Champion data for champion 5 saved to /laewon/Riot/output/champion_5.csv.
[2024-12-03T00:00:05.284+0900] {logging_mixin.py:190} INFO - Champion data for champion 18 saved to /laewon/Riot/output/champion_18.csv.
[2024-12-03T00:00:05.367+0900] {logging_mixin.py:190} INFO - Champion data for champion 82 saved to /laewon/Riot/output/champion_82.csv.
[2024-12-03T00:00:05.494+0900] {logging_mixin.py:190} INFO - Champion data for champion 63 saved to /laewon/Riot/output/champion_63.csv.
[2024-12-03T00:00:05.628+0900] {logging_mixin.py:190} INFO - Champion data for champion 126 saved to /laewon/Riot/output/champion_126.csv.
[2024-12-03T00:00:05.703+0900] {logging_mixin.py:190} INFO - Champion data for champion 16 saved to /laewon/Riot/output/champion_16.csv.
[2024-12-03T00:00:05.808+0900] {logging_mixin.py:190} INFO - Champion data for champion 7 saved to /laewon/Riot/output/champion_7.csv.
[2024-12-03T00:00:05.853+0900] {logging_mixin.py:190} INFO - Champion data for champion 420 saved to /laewon/Riot/output/champion_420.csv.
[2024-12-03T00:00:05.920+0900] {logging_mixin.py:190} INFO - Champion data for champion 26 saved to /laewon/Riot/output/champion_26.csv.
[2024-12-03T00:00:05.976+0900] {logging_mixin.py:190} INFO - Champion data for champion 14 saved to /laewon/Riot/output/champion_14.csv.
