[2024-12-04T00:00:03.586+0900] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-04T00:00:03.595+0900] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: process_and_upload_json_to_hdfs.process_json_files scheduled__2024-12-03T14:00:00+00:00 [queued]>
[2024-12-04T00:00:03.601+0900] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: process_and_upload_json_to_hdfs.process_json_files scheduled__2024-12-03T14:00:00+00:00 [queued]>
[2024-12-04T00:00:03.602+0900] {taskinstance.py:2866} INFO - Starting attempt 1 of 2
[2024-12-04T00:00:03.618+0900] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): process_json_files> on 2024-12-03 14:00:00+00:00
[2024-12-04T00:00:03.621+0900] {standard_task_runner.py:72} INFO - Started process 612220 to run task
[2024-12-04T00:00:03.624+0900] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'process_and_upload_json_to_hdfs', 'process_json_files', 'scheduled__2024-12-03T14:00:00+00:00', '--job-id', '491', '--raw', '--subdir', 'DAGS_FOLDER/data_to_hdfs.py', '--cfg-path', '/tmp/tmptrj1u9w2']
[2024-12-04T00:00:03.625+0900] {standard_task_runner.py:105} INFO - Job 491: Subtask process_json_files
[2024-12-04T00:00:03.659+0900] {task_command.py:467} INFO - Running <TaskInstance: process_and_upload_json_to_hdfs.process_json_files scheduled__2024-12-03T14:00:00+00:00 [running]> on host MN
[2024-12-04T00:00:03.725+0900] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='process_and_upload_json_to_hdfs' AIRFLOW_CTX_TASK_ID='process_json_files' AIRFLOW_CTX_EXECUTION_DATE='2024-12-03T14:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-12-03T14:00:00+00:00'
[2024-12-04T00:00:03.726+0900] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-04T00:00:04.087+0900] {logging_mixin.py:190} INFO - Champion data for champion 74 saved to /laewon/Riot/output/champion_74.csv.
[2024-12-04T00:00:04.182+0900] {logging_mixin.py:190} INFO - Champion data for champion 518 saved to /laewon/Riot/output/champion_518.csv.
[2024-12-04T00:00:04.280+0900] {logging_mixin.py:190} INFO - Champion data for champion 36 saved to /laewon/Riot/output/champion_36.csv.
[2024-12-04T00:00:04.444+0900] {logging_mixin.py:190} INFO - Champion data for champion 202 saved to /laewon/Riot/output/champion_202.csv.
[2024-12-04T00:00:04.558+0900] {logging_mixin.py:190} INFO - Champion data for champion 412 saved to /laewon/Riot/output/champion_412.csv.
[2024-12-04T00:00:04.631+0900] {logging_mixin.py:190} INFO - Champion data for champion 360 saved to /laewon/Riot/output/champion_360.csv.
[2024-12-04T00:00:04.707+0900] {logging_mixin.py:190} INFO - Champion data for champion 16 saved to /laewon/Riot/output/champion_16.csv.
[2024-12-04T00:00:04.920+0900] {logging_mixin.py:190} INFO - Champion data for champion 81 saved to /laewon/Riot/output/champion_81.csv.
[2024-12-04T00:00:05.033+0900] {logging_mixin.py:190} INFO - Champion data for champion 7 saved to /laewon/Riot/output/champion_7.csv.
[2024-12-04T00:00:05.133+0900] {logging_mixin.py:190} INFO - Champion data for champion 111 saved to /laewon/Riot/output/champion_111.csv.
[2024-12-04T00:00:05.228+0900] {logging_mixin.py:190} INFO - Champion data for champion 266 saved to /laewon/Riot/output/champion_266.csv.
