[2024-12-04T02:00:03.402+0900] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-04T02:00:03.411+0900] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: process_and_upload_json_to_hdfs.process_json_files scheduled__2024-12-03T16:00:00+00:00 [queued]>
[2024-12-04T02:00:03.418+0900] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: process_and_upload_json_to_hdfs.process_json_files scheduled__2024-12-03T16:00:00+00:00 [queued]>
[2024-12-04T02:00:03.418+0900] {taskinstance.py:2866} INFO - Starting attempt 1 of 2
[2024-12-04T02:00:03.434+0900] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): process_json_files> on 2024-12-03 16:00:00+00:00
[2024-12-04T02:00:03.437+0900] {standard_task_runner.py:72} INFO - Started process 668979 to run task
[2024-12-04T02:00:03.440+0900] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'process_and_upload_json_to_hdfs', 'process_json_files', 'scheduled__2024-12-03T16:00:00+00:00', '--job-id', '499', '--raw', '--subdir', 'DAGS_FOLDER/data_to_hdfs.py', '--cfg-path', '/tmp/tmpxyozq02p']
[2024-12-04T02:00:03.442+0900] {standard_task_runner.py:105} INFO - Job 499: Subtask process_json_files
[2024-12-04T02:00:03.476+0900] {task_command.py:467} INFO - Running <TaskInstance: process_and_upload_json_to_hdfs.process_json_files scheduled__2024-12-03T16:00:00+00:00 [running]> on host MN
[2024-12-04T02:00:03.543+0900] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='process_and_upload_json_to_hdfs' AIRFLOW_CTX_TASK_ID='process_json_files' AIRFLOW_CTX_EXECUTION_DATE='2024-12-03T16:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-12-03T16:00:00+00:00'
[2024-12-04T02:00:03.543+0900] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-04T02:00:04.013+0900] {logging_mixin.py:190} INFO - Champion data for champion 81 saved to /laewon/Riot/output/champion_81.csv.
[2024-12-04T02:00:04.155+0900] {logging_mixin.py:190} INFO - Champion data for champion 45 saved to /laewon/Riot/output/champion_45.csv.
[2024-12-04T02:00:04.229+0900] {logging_mixin.py:190} INFO - Champion data for champion 888 saved to /laewon/Riot/output/champion_888.csv.
[2024-12-04T02:00:04.391+0900] {logging_mixin.py:190} INFO - Champion data for champion 202 saved to /laewon/Riot/output/champion_202.csv.
[2024-12-04T02:00:04.428+0900] {logging_mixin.py:190} INFO - Champion data for champion 33 saved to /laewon/Riot/output/champion_33.csv.
[2024-12-04T02:00:04.548+0900] {logging_mixin.py:190} INFO - Champion data for champion 555 saved to /laewon/Riot/output/champion_555.csv.
[2024-12-04T02:00:04.699+0900] {logging_mixin.py:190} INFO - Champion data for champion 110 saved to /laewon/Riot/output/champion_110.csv.
[2024-12-04T02:00:04.814+0900] {logging_mixin.py:190} INFO - Champion data for champion 4 saved to /laewon/Riot/output/champion_4.csv.
[2024-12-04T02:00:04.900+0900] {logging_mixin.py:190} INFO - Champion data for champion 799 saved to /laewon/Riot/output/champion_799.csv.
[2024-12-04T02:00:04.948+0900] {logging_mixin.py:190} INFO - Champion data for champion 267 saved to /laewon/Riot/output/champion_267.csv.
[2024-12-04T02:00:05.031+0900] {logging_mixin.py:190} INFO - Champion data for champion 117 saved to /laewon/Riot/output/champion_117.csv.
[2024-12-04T02:00:05.157+0900] {logging_mixin.py:190} INFO - Champion data for champion 161 saved to /laewon/Riot/output/champion_161.csv.
