[2024-12-04T05:00:03.894+0900] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-04T05:00:03.904+0900] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: process_and_upload_json_to_hdfs.process_json_files scheduled__2024-12-03T19:00:00+00:00 [queued]>
[2024-12-04T05:00:03.910+0900] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: process_and_upload_json_to_hdfs.process_json_files scheduled__2024-12-03T19:00:00+00:00 [queued]>
[2024-12-04T05:00:03.910+0900] {taskinstance.py:2866} INFO - Starting attempt 1 of 2
[2024-12-04T05:00:03.926+0900] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): process_json_files> on 2024-12-03 19:00:00+00:00
[2024-12-04T05:00:03.929+0900] {standard_task_runner.py:72} INFO - Started process 753031 to run task
[2024-12-04T05:00:03.932+0900] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'process_and_upload_json_to_hdfs', 'process_json_files', 'scheduled__2024-12-03T19:00:00+00:00', '--job-id', '511', '--raw', '--subdir', 'DAGS_FOLDER/data_to_hdfs.py', '--cfg-path', '/tmp/tmpowk3l1km']
[2024-12-04T05:00:03.934+0900] {standard_task_runner.py:105} INFO - Job 511: Subtask process_json_files
[2024-12-04T05:00:03.967+0900] {task_command.py:467} INFO - Running <TaskInstance: process_and_upload_json_to_hdfs.process_json_files scheduled__2024-12-03T19:00:00+00:00 [running]> on host MN
[2024-12-04T05:00:04.033+0900] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='process_and_upload_json_to_hdfs' AIRFLOW_CTX_TASK_ID='process_json_files' AIRFLOW_CTX_EXECUTION_DATE='2024-12-03T19:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-12-03T19:00:00+00:00'
[2024-12-04T05:00:04.034+0900] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-04T05:00:04.258+0900] {logging_mixin.py:190} INFO - Champion data for champion 115 saved to /laewon/Riot/output/champion_115.csv.
[2024-12-04T05:00:04.409+0900] {logging_mixin.py:190} INFO - Champion data for champion 54 saved to /laewon/Riot/output/champion_54.csv.
[2024-12-04T05:00:04.521+0900] {logging_mixin.py:190} INFO - Champion data for champion 18 saved to /laewon/Riot/output/champion_18.csv.
[2024-12-04T05:00:04.567+0900] {logging_mixin.py:190} INFO - Champion data for champion 432 saved to /laewon/Riot/output/champion_432.csv.
[2024-12-04T05:00:04.595+0900] {logging_mixin.py:190} INFO - Champion data for champion 233 saved to /laewon/Riot/output/champion_233.csv.
[2024-12-04T05:00:04.731+0900] {logging_mixin.py:190} INFO - Champion data for champion 63 saved to /laewon/Riot/output/champion_63.csv.
[2024-12-04T05:00:04.806+0900] {logging_mixin.py:190} INFO - Champion data for champion 121 saved to /laewon/Riot/output/champion_121.csv.
[2024-12-04T05:00:04.872+0900] {logging_mixin.py:190} INFO - Champion data for champion 223 saved to /laewon/Riot/output/champion_223.csv.
