[2024-12-05T01:00:03.728+0900] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-05T01:00:03.737+0900] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: process_and_upload_json_to_hdfs.process_json_files scheduled__2024-12-04T15:00:00+00:00 [queued]>
[2024-12-05T01:00:03.744+0900] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: process_and_upload_json_to_hdfs.process_json_files scheduled__2024-12-04T15:00:00+00:00 [queued]>
[2024-12-05T01:00:03.744+0900] {taskinstance.py:2866} INFO - Starting attempt 1 of 2
[2024-12-05T01:00:03.760+0900] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): process_json_files> on 2024-12-04 15:00:00+00:00
[2024-12-05T01:00:03.763+0900] {standard_task_runner.py:72} INFO - Started process 1339011 to run task
[2024-12-05T01:00:03.766+0900] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'process_and_upload_json_to_hdfs', 'process_json_files', 'scheduled__2024-12-04T15:00:00+00:00', '--job-id', '591', '--raw', '--subdir', 'DAGS_FOLDER/data_to_hdfs.py', '--cfg-path', '/tmp/tmp4bnglxsp']
[2024-12-05T01:00:03.768+0900] {standard_task_runner.py:105} INFO - Job 591: Subtask process_json_files
[2024-12-05T01:00:03.801+0900] {task_command.py:467} INFO - Running <TaskInstance: process_and_upload_json_to_hdfs.process_json_files scheduled__2024-12-04T15:00:00+00:00 [running]> on host MN
[2024-12-05T01:00:03.869+0900] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='process_and_upload_json_to_hdfs' AIRFLOW_CTX_TASK_ID='process_json_files' AIRFLOW_CTX_EXECUTION_DATE='2024-12-04T15:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-12-04T15:00:00+00:00'
[2024-12-05T01:00:03.870+0900] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-05T01:00:04.261+0900] {logging_mixin.py:190} INFO - Champion data for champion 161 saved to /laewon/Riot/output/champion_161.csv.
[2024-12-05T01:00:04.410+0900] {logging_mixin.py:190} INFO - Champion data for champion 25 saved to /laewon/Riot/output/champion_25.csv.
[2024-12-05T01:00:04.526+0900] {logging_mixin.py:190} INFO - Champion data for champion 29 saved to /laewon/Riot/output/champion_29.csv.
[2024-12-05T01:00:04.666+0900] {logging_mixin.py:190} INFO - Champion data for champion 76 saved to /laewon/Riot/output/champion_76.csv.
[2024-12-05T01:00:04.744+0900] {logging_mixin.py:190} INFO - Champion data for champion 254 saved to /laewon/Riot/output/champion_254.csv.
[2024-12-05T01:00:04.848+0900] {logging_mixin.py:190} INFO - Champion data for champion 221 saved to /laewon/Riot/output/champion_221.csv.
[2024-12-05T01:00:05.052+0900] {logging_mixin.py:190} INFO - Champion data for champion 81 saved to /laewon/Riot/output/champion_81.csv.
[2024-12-05T01:00:05.100+0900] {logging_mixin.py:190} INFO - Champion data for champion 98 saved to /laewon/Riot/output/champion_98.csv.
[2024-12-05T01:00:05.146+0900] {logging_mixin.py:190} INFO - Champion data for champion 19 saved to /laewon/Riot/output/champion_19.csv.
