[2024-12-05T08:00:04.073+0900] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-05T08:00:04.083+0900] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: process_and_upload_json_to_hdfs.process_json_files scheduled__2024-12-04T22:00:00+00:00 [queued]>
[2024-12-05T08:00:04.089+0900] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: process_and_upload_json_to_hdfs.process_json_files scheduled__2024-12-04T22:00:00+00:00 [queued]>
[2024-12-05T08:00:04.089+0900] {taskinstance.py:2866} INFO - Starting attempt 1 of 2
[2024-12-05T08:00:04.104+0900] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): process_json_files> on 2024-12-04 22:00:00+00:00
[2024-12-05T08:00:04.107+0900] {standard_task_runner.py:72} INFO - Started process 1535012 to run task
[2024-12-05T08:00:04.111+0900] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'process_and_upload_json_to_hdfs', 'process_json_files', 'scheduled__2024-12-04T22:00:00+00:00', '--job-id', '619', '--raw', '--subdir', 'DAGS_FOLDER/data_to_hdfs.py', '--cfg-path', '/tmp/tmpvc50kmhj']
[2024-12-05T08:00:04.112+0900] {standard_task_runner.py:105} INFO - Job 619: Subtask process_json_files
[2024-12-05T08:00:04.146+0900] {task_command.py:467} INFO - Running <TaskInstance: process_and_upload_json_to_hdfs.process_json_files scheduled__2024-12-04T22:00:00+00:00 [running]> on host MN
[2024-12-05T08:00:04.212+0900] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='process_and_upload_json_to_hdfs' AIRFLOW_CTX_TASK_ID='process_json_files' AIRFLOW_CTX_EXECUTION_DATE='2024-12-04T22:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-12-04T22:00:00+00:00'
[2024-12-05T08:00:04.213+0900] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-05T08:00:04.264+0900] {logging_mixin.py:190} INFO - Champion data for champion 83 saved to /laewon/Riot/output/champion_83.csv.
[2024-12-05T08:00:04.421+0900] {logging_mixin.py:190} INFO - Champion data for champion 103 saved to /laewon/Riot/output/champion_103.csv.
[2024-12-05T08:00:04.571+0900] {logging_mixin.py:190} INFO - Champion data for champion 54 saved to /laewon/Riot/output/champion_54.csv.
[2024-12-05T08:00:04.637+0900] {logging_mixin.py:190} INFO - Champion data for champion 34 saved to /laewon/Riot/output/champion_34.csv.
[2024-12-05T08:00:04.766+0900] {logging_mixin.py:190} INFO - Champion data for champion 67 saved to /laewon/Riot/output/champion_67.csv.
[2024-12-05T08:00:04.927+0900] {logging_mixin.py:190} INFO - Champion data for champion 99 saved to /laewon/Riot/output/champion_99.csv.
[2024-12-05T08:00:05.042+0900] {logging_mixin.py:190} INFO - Champion data for champion 64 saved to /laewon/Riot/output/champion_64.csv.
[2024-12-05T08:00:05.191+0900] {logging_mixin.py:190} INFO - Champion data for champion 25 saved to /laewon/Riot/output/champion_25.csv.
