[2024-12-05T16:00:03.753+0900] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-05T16:00:03.763+0900] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: process_and_upload_json_to_hdfs.process_json_files scheduled__2024-12-05T06:00:00+00:00 [queued]>
[2024-12-05T16:00:03.769+0900] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: process_and_upload_json_to_hdfs.process_json_files scheduled__2024-12-05T06:00:00+00:00 [queued]>
[2024-12-05T16:00:03.769+0900] {taskinstance.py:2866} INFO - Starting attempt 1 of 2
[2024-12-05T16:00:03.785+0900] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): process_json_files> on 2024-12-05 06:00:00+00:00
[2024-12-05T16:00:03.788+0900] {standard_task_runner.py:72} INFO - Started process 1764087 to run task
[2024-12-05T16:00:03.792+0900] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'process_and_upload_json_to_hdfs', 'process_json_files', 'scheduled__2024-12-05T06:00:00+00:00', '--job-id', '651', '--raw', '--subdir', 'DAGS_FOLDER/data_to_hdfs.py', '--cfg-path', '/tmp/tmptk3862nk']
[2024-12-05T16:00:03.794+0900] {standard_task_runner.py:105} INFO - Job 651: Subtask process_json_files
[2024-12-05T16:00:03.827+0900] {task_command.py:467} INFO - Running <TaskInstance: process_and_upload_json_to_hdfs.process_json_files scheduled__2024-12-05T06:00:00+00:00 [running]> on host MN
[2024-12-05T16:00:03.894+0900] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='process_and_upload_json_to_hdfs' AIRFLOW_CTX_TASK_ID='process_json_files' AIRFLOW_CTX_EXECUTION_DATE='2024-12-05T06:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-12-05T06:00:00+00:00'
[2024-12-05T16:00:03.895+0900] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-05T16:00:04.250+0900] {logging_mixin.py:190} INFO - Champion data for champion 80 saved to /laewon/Riot/output/champion_80.csv.
[2024-12-05T16:00:04.323+0900] {logging_mixin.py:190} INFO - Champion data for champion 154 saved to /laewon/Riot/output/champion_154.csv.
[2024-12-05T16:00:04.419+0900] {logging_mixin.py:190} INFO - Champion data for champion 57 saved to /laewon/Riot/output/champion_57.csv.
[2024-12-05T16:00:04.474+0900] {logging_mixin.py:190} INFO - Champion data for champion 876 saved to /laewon/Riot/output/champion_876.csv.
[2024-12-05T16:00:04.632+0900] {logging_mixin.py:190} INFO - Champion data for champion 21 saved to /laewon/Riot/output/champion_21.csv.
[2024-12-05T16:00:04.708+0900] {logging_mixin.py:190} INFO - Champion data for champion 888 saved to /laewon/Riot/output/champion_888.csv.
[2024-12-05T16:00:04.763+0900] {logging_mixin.py:190} INFO - Champion data for champion 90 saved to /laewon/Riot/output/champion_90.csv.
[2024-12-05T16:00:04.933+0900] {logging_mixin.py:190} INFO - Champion data for champion 53 saved to /laewon/Riot/output/champion_53.csv.
