[2024-12-06T02:00:03.294+0900] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-06T02:00:03.304+0900] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: process_and_upload_json_to_hdfs.process_json_files scheduled__2024-12-05T16:00:00+00:00 [queued]>
[2024-12-06T02:00:03.310+0900] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: process_and_upload_json_to_hdfs.process_json_files scheduled__2024-12-05T16:00:00+00:00 [queued]>
[2024-12-06T02:00:03.310+0900] {taskinstance.py:2866} INFO - Starting attempt 1 of 2
[2024-12-06T02:00:03.326+0900] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): process_json_files> on 2024-12-05 16:00:00+00:00
[2024-12-06T02:00:03.329+0900] {standard_task_runner.py:72} INFO - Started process 2099681 to run task
[2024-12-06T02:00:03.333+0900] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'process_and_upload_json_to_hdfs', 'process_json_files', 'scheduled__2024-12-05T16:00:00+00:00', '--job-id', '691', '--raw', '--subdir', 'DAGS_FOLDER/data_to_hdfs.py', '--cfg-path', '/tmp/tmp25vlupml']
[2024-12-06T02:00:03.334+0900] {standard_task_runner.py:105} INFO - Job 691: Subtask process_json_files
[2024-12-06T02:00:03.372+0900] {task_command.py:467} INFO - Running <TaskInstance: process_and_upload_json_to_hdfs.process_json_files scheduled__2024-12-05T16:00:00+00:00 [running]> on host MN
[2024-12-06T02:00:03.440+0900] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='process_and_upload_json_to_hdfs' AIRFLOW_CTX_TASK_ID='process_json_files' AIRFLOW_CTX_EXECUTION_DATE='2024-12-05T16:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-12-05T16:00:00+00:00'
[2024-12-06T02:00:03.441+0900] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-06T02:00:03.686+0900] {logging_mixin.py:190} INFO - Champion data for champion 145 saved to /laewon/Riot/output/champion_145.csv.
[2024-12-06T02:00:03.843+0900] {logging_mixin.py:190} INFO - Champion data for champion 110 saved to /laewon/Riot/output/champion_110.csv.
[2024-12-06T02:00:04.008+0900] {logging_mixin.py:190} INFO - Champion data for champion 202 saved to /laewon/Riot/output/champion_202.csv.
[2024-12-06T02:00:04.053+0900] {logging_mixin.py:190} INFO - Champion data for champion 164 saved to /laewon/Riot/output/champion_164.csv.
[2024-12-06T02:00:04.131+0900] {logging_mixin.py:190} INFO - Champion data for champion 50 saved to /laewon/Riot/output/champion_50.csv.
[2024-12-06T02:00:04.214+0900] {logging_mixin.py:190} INFO - Champion data for champion 82 saved to /laewon/Riot/output/champion_82.csv.
[2024-12-06T02:00:04.357+0900] {logging_mixin.py:190} INFO - Champion data for champion 236 saved to /laewon/Riot/output/champion_236.csv.
[2024-12-06T02:00:04.465+0900] {logging_mixin.py:190} INFO - Champion data for champion 517 saved to /laewon/Riot/output/champion_517.csv.
